administración,estrato,antiguedad,área,habitaciones,baños,garajes,elevadores,tipo_de_inmueble,porteria,precio,Localidad,Tasa_Homicidios_100k,Tasa_Hurtos_100k,incluye_remodelado,incluye_deposito,incluye_zona_de_lavanderia,incluye_gas,incluye_parqueadero
45000,2,8,49.0,3,1,0,0,Apartamento,24 hrs,110000000.0,USME,18.9,680.0,True,False,False,True,True
88199,2,9,48.0,3,1,0,0,Apartamento,24 hrs,110800000.0,USME,18.9,680.0,True,False,False,True,True
179400,3,9,56.0,3,2,0,0,Apartamento,No,221000000.0,FONTIBON,10.1,810.0,True,False,False,True,False
438000,3,7,84.0,3,2,1,1,Apartamento,24 hrs,440000000.0,SUBA,9.8,750.0,True,True,False,True,False
597000,5,24,105.0,3,3,1,1,Apartamento,24 hrs,500000000.0,SUBA,9.8,750.0,True,True,False,True,True
85000,2,21,47.0,3,1,0,0,Apartamento,24 hrs,145500000.0,KENNEDY,25.4,950.0,True,False,False,True,True
325000,4,30,75.0,3,2,0,1,Apartamento,24 hrs,365300000.0,CHAPINERO,5.2,1050.0,True,False,False,True,True
535000,5,26,70.0,2,2,1,1,Apartamento,24 hrs,395600000.0,USAQUEN,8.5,850.0,True,True,False,True,True
88000,3,21,52.0,2,2,1,0,Apartamento,24 hrs,198320000.0,USAQUEN,8.5,850.0,True,False,False,True,True
235000,3,30,56.0,2,1,1,0,Apartamento,24 hrs,228000000.0,KENNEDY,25.4,950.0,False,False,False,False,False
125000,2,9,47.0,3,1,0,0,Apartamento,24 hrs,145000000.0,KENNEDY,25.4,950.0,True,False,False,True,True
50000,1,8,57.0,3,1,0,0,Apartamento,24 hrs,155000000.0,USAQUEN,8.5,850.0,True,False,False,True,True
109000,2,28,52.0,2,1,0,0,Apartamento,24 hrs,160000000.0,SUBA,9.8,750.0,True,False,False,True,True
71000,2,6,51.0,2,2,0,0,Apartamento,24 hrs,151000000.0,KENNEDY,25.4,950.0,True,False,False,True,True
200500,3,25,57.0,3,2,0,0,Apartamento,No,225000000.0,ENGATIVA,11.3,790.0,True,False,False,True,True
278000,4,31,47.0,1,1,1,1,Apartamento,24 hrs,275000000.0,USAQUEN,8.5,850.0,True,False,False,True,False
68000,2,13,48.0,3,1,0,0,Apartamento,24 hrs,133500000.0,KENNEDY,25.4,950.0,True,False,False,True,False
67000,3,17,41.0,2,1,0,0,Casa,24 hrs,145800000.0,SUBA,9.8,750.0,True,False,True,True,False
0,4,25,64.0,3,2,1,1,Apartamento,24 hrs,310000000.0,SUBA,9.8,750.0,True,False,False,True,True
62000,3,29,54.0,3,1,0,0,Apartamento,24 hrs,165000000.0,SUBA,9.8,750.0,True,False,True,True,False
125000,2,8,59.0,3,2,0,3,Apartamento,24 hrs,177000000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,True,True,True
93000,2,14,37.0,2,1,0,0,Apartamento,24 hrs,125500000.0,SUBA,9.8,750.0,True,False,False,True,True
479000,5,18,75.0,3,2,2,1,Apartamento,24 hrs,447400000.0,USAQUEN,8.5,850.0,True,False,False,True,False
150000,3,24,49.0,3,1,0,0,Apartamento,24 hrs,190000000.0,ENGATIVA,11.3,790.0,True,False,False,True,False
313300,4,15,68.0,3,2,0,1,Apartamento,24 hrs,390000000.0,SUBA,9.8,750.0,True,True,True,True,True
660400,5,5,68.0,2,2,2,1,Apartamento,24 hrs,450000000.0,SUBA,9.8,750.0,True,True,False,True,False
